NET SW,NET LW,EH,EE,melt [cm ice eq. day],daily albedo,TEMP,RH,Pressure,Wind Speed
134.94,-39.5,-7.0477,-56.561,0.89793,0.47395,-1.2212,50.708,284.03,3.8612
176.49,-64.342,-0.61088,-47.157,1.8161,0.43546,-0.062583,47.445,293.66,3.241
276.17,-81.462,10.702,-46.993,4.4687,0.35877,2.4168,36.584,277.14,3.0369
285.83,-81.208,18.121,-38.782,5.1894,0.3308,4.2427,34.536,296.75,2.7046
299.19,-78.708,15.687,-39.501,5.548,0.30839,3.3855,36.594,291.39,2.7377
104.72,-41.975,19.051,-50.827,0.87371,0.32585,2.9365,39.579,306.73,3.8424
174.89,-49.862,9.8703,-34.264,2.8389,0.29842,1.6589,51.946,360.02,3.0213
316.25,-83.379,5.6988,-59.734,5.0448,0.28275,0.61754,45.391,287.58,3.9127
292.68,-81.554,11.345,-46.181,4.9731,0.23933,2.6482,35.772,275.48,2.8996
296.49,-86.612,12.532,-41.252,5.1103,0.22978,2.8036,34.786,269.73,2.6519
338.59,-91.842,14.363,-48.946,5.9852,0.22594,2.961,30.338,242.92,2.9195
295.58,-76.542,9.0447,-35.066,5.445,0.2222,2.3273,41.48,307.59,2.6031
336.86,-92.358,5.1674,-42.073,5.8562,0.21544,1.3978,34.605,240.16,2.5049
343.94,-84.525,14.056,-42.936,6.5033,0.2057,3.2235,31.42,253.38,2.6852
328.96,-83.787,15.11,-33.486,6.3978,0.20781,3.3993,40.255,314.51,2.4435
342.82,-88.237,16.552,-57.399,6.0294,0.20358,3.2742,28.102,230.3,3.2804
312.8,-81.821,10.583,-38.218,5.7363,0.20328,2.6877,38.171,293,2.6707
344.59,-90.971,15.44,-52.861,6.099,0.1958,3.2848,25.978,211.39,2.902
316.53,-79.45,11.076,-31.348,6.116,0.19735,2.6582,42.358,318.03,2.4019
340.74,-83.333,19.091,-38.413,6.7164,0.18298,4.3478,30.925,280.83,2.6813
349.3,-77.646,31.297,-57.507,6.9238,0.17307,5.2708,27.213,260.53,3.6302
340.72,-84.579,18.78,-55.07,6.202,0.19511,3.5936,28.132,229.63,3.2422
341.73,-81.8,23.047,-47.766,6.6353,0.18196,5.1309,25.943,237.2,2.8671
351.03,-73.175,25.735,-33.958,7.6063,0.14873,5.6703,35.52,347.74,2.8551
348.36,-70.367,24.005,-21.724,7.9063,0.13112,6.0133,41.105,413.15,2.4331
355.49,-69.121,26.407,-29.047,8.0039,0.14383,5.5674,42.37,399.65,2.8542
347.89,-80.971,26.09,-61.747,6.5238,0.15786,4.1538,31.057,261.75,3.7912
298.13,-77.071,14.016,-36.841,5.592,0.15911,2.6775,51.01,384.99,3.3742
279.43,-72.713,15.061,-27,5.4948,0.14628,3.5092,49.045,401.13,2.6718
355.05,-79.729,19.908,-42.083,7.1412,0.13328,4.3015,32.056,281.06,2.8302
320.56,-78.087,25.15,-56.33,5.9605,0.15115,3.9289,33.444,274.72,3.6655
346.16,-80.042,20.497,-47.772,6.7377,0.13885,4.2606,29.98,263.54,3.0115
347.22,-72.592,20.622,-35.9,7.3161,0.13394,4.3476,39.203,338.23,2.7488
342.49,-83.113,18.609,-42.202,6.6514,0.13844,3.5295,38.241,309.3,3.028
344.1,-91.617,32.581,-77.792,5.8471,0.13702,5.0696,19.469,180.96,3.9318
267.88,-86.596,29.269,-60.401,4.2359,0.14522,6.1433,14.077,142.22,2.8907
286.01,-62.937,30.829,-54.345,5.6294,0.13733,6.2867,20.461,203.72,2.9023
336.38,-84.742,27.004,-56.821,6.2575,0.12948,5.1434,26.653,247.05,3.3178
291.68,-75.433,10.081,-59.042,4.719,0.15041,1.4683,41.507,290.82,4.0987
71.529,-42.183,-3.5325,-47.991,-0.62565,0.26626,-0.54488,48.452,275.06,3.3856
111.01,-58.817,-2.9521,-32.801,0.4637,0.42816,-0.39883,58.757,355.2,2.5526
197.25,-58.592,4.5025,-26.125,3.3016,0.27236,1.1235,56.828,380.7,2.462
248.82,-80.338,5.959,-35.805,3.9109,0.18629,1.8543,38.303,290.08,2.3926
303.27,-80.604,22.017,-44.437,5.6488,0.16064,4.5806,32.115,281.51,2.9451
296.04,-84.179,12.026,-34.793,5.3343,0.16018,3.5331,31.11,256.42,2.168
289.79,-83.129,12.05,-40.133,5.0376,0.1542,2.9796,33.564,266.31,2.5539
289.97,-78.975,16.307,-42.369,5.2169,0.14601,4.111,30.045,260.45,2.6825
289.18,-83.55,13.207,-60.965,4.4534,0.15763,2.2822,32.6,240.25,3.7513
142.85,-54.108,-10.676,-71.563,0.1834,0.17147,-1.5453,48.841,262.68,4.6403
211.51,-73.383,-14.657,-53.749,1.9667,0.15911,-3.2086,42.589,202.58,2.8655
14.458,-16.958,-18.505,-38.805,-1.6872,0.98084,-4.8446,69.922,282.43,2.4901
97.451,-48.887,-13.512,-58.091,-0.64995,0.68183,-2.6295,49.897,249.83,3.6273
157.73,-71.575,1.7148,-43.058,1.2642,0.51384,0.36508,42.49,277.72,2.6679
213.05,-84.358,12.048,-44.042,2.7279,0.36287,2.7507,31.498,246.54,2.5819
212.9,-72.908,8.0993,-22.498,3.543,0.25315,2.0106,55.79,393.23,2.1433
255.82,-66.238,2.8406,-18.956,4.8935,0.2298,0.68033,62.331,383.5,1.765
138.67,-59.504,3.9298,-26.512,1.5961,0.20536,0.85088,55.812,352.33,1.9958
158.04,-48.196,-0.51591,-26.251,2.3436,0.30237,-0.20138,59.495,353.98,2.0834
31.293,-5.0375,-4.7105,-19.25,0.064727,0.7654,-1.7505,77.864,405.93,1.8702
92.012,-71.454,-8.3277,-66.751,-1.538,0.688,-1.063,40.636,233.23,3.7843
56.768,-57.842,0.74336,-56.265,-1.5965,0.6732,0.092458,37.334,229.83,3.33
110.84,-70.646,3.8528,-48.081,-0.11393,0.59198,0.35042,38.219,236.91,2.8575
138.1,-76.092,8.9054,-55.523,0.43406,0.48225,1.6618,31.188,224.65,3.1932
182.81,-85.087,13.102,-49.377,1.7333,0.3543,3.0562,23.734,192.91,2.6543
209.62,-83.125,21.355,-49.581,2.772,0.24943,4.6928,24.05,215.2,2.8212
222.07,-81.779,18.825,-37.516,3.4303,0.19931,4.4851,30.727,270.01,2.514
221.25,-74.404,29.325,-43.528,3.7419,0.16192,5.9843,30.817,309.64,3.1723
216.83,-73.246,24.921,-29.504,3.9211,0.1575,5.8707,38.69,370.6,2.6346
216.83,-84.929,24.623,-39.231,3.3088,0.14984,5.5708,30.549,293.87,2.8278
216.91,-82.308,36.174,-48.508,3.4492,0.13541,7.6348,20.468,228.3,2.8316
212.99,-75.192,27.774,-38.282,3.5908,0.1335,6.4265,27.172,274.23,2.5362
209.51,-83.362,26.485,-69.63,2.3415,0.15025,4.2753,22.846,198.87,3.8076
208.17,-88.846,14.457,-58.618,2.1204,0.16274,2.9233,21.991,172.93,2.9765
207.76,-90.283,19.29,-56.862,2.2541,0.15571,4.249,20.759,182.9,2.9254
203.62,-82.875,16.356,-48.372,2.503,0.15179,3.6891,29.455,244.83,2.9094
199.86,-74.058,14.977,-38.082,2.897,0.1493,3.7594,34.808,287.95,2.6446
193.82,-78.579,17.533,-47.643,2.4016,0.15608,3.8433,29.885,248.44,2.9576
195.88,-70.225,15.361,-43.348,2.7552,0.15902,3.3578,34.34,273.01,2.8817
169.87,-75.646,10.138,-48.021,1.5893,0.1778,2.8212,31.803,248.71,2.8481
146.9,-59.538,12.029,-52.978,1.3093,0.14951,2.2255,35.183,259.77,3.3862
195.07,-68.763,4.7633,-49.766,2.2937,0.15105,0.87383,40.438,266.58,3.3078
102.12,-41.942,0.61239,-42.139,0.5261,0.16562,0.10512,42.264,261.91,2.6898
0,-2.6667,-3.6533,-11.853,-0.51265,NaN,-2.3192,76.465,385.88,1.1101
29.892,-9.0125,-5.6939,-13.786,0.039475,0.81996,-1.698,72.249,385.09,1.3132
3.354,6.2458,-10.962,-19.712,-0.59447,NaN,-4.5184,80.086,337.2,1.4898
50.799,-57.55,-15.902,-41.616,-1.813,0.77225,-3.9668,49.354,223.64,2.3999
52.009,-62.233,-7.3875,-42.327,-1.6909,0.74626,-1.2397,49.203,280.25,2.7217
62.708,-56.504,7.2808,-32.286,-0.53037,0.70576,1.3327,53.255,365.07,3.004
29.634,-39.958,-17.103,-63.42,-2.5628,0.76147,-2.9829,47.206,228.24,3.7766
62.171,-78.912,-3.0495,-73.486,-2.6313,0.73961,-0.607,16.762,105.88,3.2917
