HOUR,SW,LW,SHF,LHF,T surface,T Air
1,0,-51.978,77.65,-8.2502,271.46,278.71
2,0,-52.564,76.826,-2.4613,271.43,278.65
3,0,-51.837,74.577,-1.0743,271.25,278.64
4,0,-51.091,72.356,1.7133,271.05,278.45
5,0,-51.384,76.143,1.4522,271.07,278.44
6,0,-50.867,76.746,3.0742,270.92,278.44
7,0.020839,-52.542,78.725,-1.2869,271.09,278.25
8,11.764,-54.197,78.572,-2.8095,271.61,278.41
9,79.529,-57.834,68.992,-11.672,272.56,278.8
10,166.45,-58.833,64.155,-12.125,273.01,279.24
11,257.63,-58.689,60.654,-10.653,273.11,279.45
12,330.56,-57.162,60.28,-8.9385,273.13,279.7
13,371.64,-56.038,59.52,-2.7684,273.15,279.78
14,388.76,-54.057,61.2,4.8264,273.15,279.75
15,382.84,-52.161,64.594,4.7232,273.15,280.02
16,344.3,-51.066,63.637,9.7744,273.15,280.04
17,284.29,-51.323,64.087,17.61,273.12,279.75
18,211.1,-52.031,61.708,18.488,273.11,279.56
19,130.1,-52.348,63.078,25.86,273.08,279.34
20,58.849,-52.423,63.882,23.737,272.77,279.29
21,12.195,-51.905,67.471,18.26,272.17,279.05
22,0.23057,-50.652,72.358,10.653,271.64,278.94
23,0,-50.873,74.831,1.6282,271.45,278.83
24,0,-52.377,77.471,-5.0333,271.53,278.68
