HOUR,SW,SD,LWIN,SD,LWOUT,SD,LW,SD,SHF,SD,LHF,SD,TEMP,SD,RH,SD,WS,SD,Vapour Pressure,SD,Atmospheric Pressure,SD,Ts
1,0.019352,0.1846,258.6,19.756,328.8,11.256,-70.202,18.726,23.453,16.959,-17.072,19.099,4.9435,2.2907,54.385,15.676,2.2682,1.1983,465.68,114.65,67590,153.24,NaN
2,0.0073846,0.070445,255.85,19.635,325.19,11.201,-69.337,17.613,25.006,20.125,-19.749,19.783,4.4958,2.258,54.529,15.124,2.555,1.1932,453.73,111.92,67572,155.72,NaN
3,0,0,253.59,19.319,322.27,11.015,-68.679,17.254,24.86,22.471,-23.265,20.366,4.1305,2.2113,53.968,15.204,2.6846,1.224,437.87,110.74,67547,158.73,NaN
4,0,0,252,20.071,319.7,10.484,-67.704,18,23.254,19.946,-27.083,20.766,3.8382,2.1139,52.155,15.574,2.7126,1.3137,413.48,107.53,67514,161.65,NaN
5,0,0,250.41,19.843,317.74,10.458,-67.336,17.936,22.58,19.706,-30.289,20.299,3.6068,2.1642,50.808,16.228,2.826,1.3506,395.56,107.85,67481,159.67,NaN
6,0,0,249.57,20.167,315.9,10.198,-66.332,18.038,20.513,18.784,-32.098,20.608,3.3676,2.1379,49.63,16.078,2.7653,1.2781,380.39,108.63,67456,159.48,NaN
7,0,0,247.96,20.299,314.47,10.24,-66.515,17.631,20.568,19.947,-34.278,20.73,3.2038,2.1528,48.388,16.113,2.8761,1.3204,367.05,111.59,67446,163.15,NaN
8,0.22395,0.72997,247.15,21.503,313.32,10.21,-66.169,18.468,20.223,18.696,-38.028,21.054,3.1046,2.1328,46.343,16.243,2.9539,1.3512,348.67,110.92,67455,166.38,NaN
9,10.296,17.466,245.58,20.501,313.22,10.195,-67.639,16.601,19.399,17.993,-41.864,25.648,3.0611,2.0655,44.46,16.22,2.9217,1.1892,333.52,109.87,67477,166.11,NaN
10,88.429,85.389,246.45,20.395,318.1,12.491,-71.648,15.437,20.311,15.74,-40.216,22.32,3.5856,2.2105,41.865,16.688,2.7024,0.9901,325.39,116.01,67498,167.56,NaN
11,399.73,146.27,253.5,19.515,344.14,20.232,-90.64,20.922,30.594,18.7,-39.519,25.626,6.0085,2.8043,34.696,16.227,2.5986,1.2921,314.33,124.88,67514,169.22,NaN
12,618.23,151.45,262.95,18.345,381.32,26.771,-118.37,28.347,51.338,26.344,-47.805,33.748,8.604,3.1914,28.818,15.197,3.1177,1.6597,306.52,133.24,67520,168.92,NaN
13,752.3,168.35,271.37,18.058,411.86,28.945,-140.49,34.912,87.604,37.907,-73.372,41.722,10.065,3.192,25.316,14.596,4.3877,1.7256,294.03,131.47,67518,162.86,NaN
14,817.88,200.88,277.49,18.61,429.51,32.493,-152.02,39.853,119.21,41.771,-94.358,45.189,10.976,3.1904,22.781,13.159,5.4667,1.687,280.68,121.95,67506,155.41,NaN
15,817.8,216.31,282.33,17.906,439.39,35.899,-157.06,43.423,141.98,45.663,-100.54,38.915,11.583,3.288,22.655,11.951,6.194,1.6872,290.55,112.38,67494,146.89,NaN
16,751.04,238.8,288.66,18.919,441.82,38.217,-153.16,48.266,154.36,55.125,-95.902,39.675,11.782,3.4132,24.659,11.894,6.4798,1.5623,321.12,109.22,67491,140.69,NaN
17,651.63,242.32,292.32,18.574,436.99,41.547,-144.66,51.888,155.59,59.503,-85.826,39.18,11.59,3.7298,27.941,13.99,6.5835,1.6104,355.61,112.5,67489,138.9,NaN
18,514.36,204.53,293.87,19.067,426.03,40.494,-132.16,50.954,150.73,62.353,-74.789,40.707,11.148,3.8837,31.599,15.32,6.5835,1.6888,391.39,114.1,67487,141.53,NaN
19,330.28,156.5,291.44,19.89,407.36,36.228,-115.92,46.99,138.86,64.606,-65.861,42.2,10.426,3.769,34.711,16.042,6.3888,1.7148,412.97,122.6,67492,140.31,NaN
20,126.91,91.114,286.13,20.959,381.41,28.032,-95.276,37.092,114.86,54.824,-56.606,40.593,9.4167,3.5169,38.206,16.807,5.8921,1.7505,428.65,125.41,67501,143.32,NaN
21,38.997,33.719,281.31,21.141,362.31,18.92,-81.005,28.448,92.467,46.823,-47.599,35.806,8.5499,3.2126,40.972,17.063,5.1661,1.7124,437.15,125.93,67518,146.25,NaN
22,6.4363,8.7205,274.79,20.757,350.48,15.683,-75.694,24.777,65.902,35.154,-35.966,30.824,7.7301,2.9747,43.953,17.48,4.1129,1.7019,446.77,131.05,67544,148.4,NaN
23,0.28829,1.4831,269.51,20.762,341.77,12.993,-72.26,22.917,40.093,22.977,-23.736,24.84,6.8254,2.6054,47.359,16.461,2.9103,1.4553,458.31,127.41,67574,152.19,NaN
24,0.011978,0.11426,263.25,20.109,334.87,12.034,-71.618,20.395,27.582,17.094,-17.506,19.77,5.8752,2.3972,51,16.005,2.2681,1.0551,464.57,119.91,67594,151.6,NaN
